record_id,priority,category,category_zh,title,authors,year,arxiv_id,primary_category,project_role_zh,local_type,local_file,official_url,license_url,pages,bytes,sha256,access_date
P01,A,01_code_agent_workloads,Code Agent工作负载与基准,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Carlos E. Jimenez; John Yang; Alexander Wettig; Shunyu Yao; Kexin Pei; Ofir Press; Karthik Narasimhan,2023,2310.06770,cs.CL,真实仓库级问题与长上下文需求基准,open_access_pdf,01_open_access_papers/01_code_agent_workloads/01_SWE_bench_Can_Language_Models_Resolve_Real_World_GitHub_Issues.pdf,https://arxiv.org/abs/2310.06770,https://creativecommons.org/licenses/by/4.0/,52,4533722,f7e8e1df64129742b8199a21a042734519a823a1dafd6f48f8f3ddcfb48ee296,2026-08-30
P02,A,01_code_agent_workloads,Code Agent工作负载与基准,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,John Yang; Carlos E. Jimenez; Alexander Wettig; Kilian Lieret; Shunyu Yao; Karthik Narasimhan; Ofir Press,2024,2405.15793,cs.SE,工具闭环与Agent计算机接口基线,open_access_pdf,01_open_access_papers/01_code_agent_workloads/02_SWE_agent_Agent_Computer_Interfaces_Enable_Automated_Software_Engineering.pdf,https://arxiv.org/abs/2405.15793,https://creativecommons.org/licenses/by/4.0/,118,4963538,d171e0693060b910ceb2cddd0fd4bc7cae302005d42d0d8059bfdbe056c3adba,2026-08-30
P03,A,01_code_agent_workloads,Code Agent工作负载与基准,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,Xingyao Wang; Boxuan Li; Yufan Song; Frank F. Xu; Xiangru Tang; Mingchen Zhuge; Jiayi Pan; Yueqi Song; Bowen Li; Jaskirat Singh; Hoang H. Tran; Fuqiang Li; Ren Ma; Mingzhang Zheng; Bill Qian; Yanjun Shao; Niklas Muennighoff; Yizhe Zhang; Binyuan Hui; Junyang Lin; Robert Brennan; Hao Peng; Heng Ji; Graham Neubig,2024,2407.16741,cs.SE,通用软件开发Agent平台与轨迹结构,open_access_pdf,01_open_access_papers/01_code_agent_workloads/03_OpenHands_An_Open_Platform_for_AI_Software_Developers_as_Generalist_Agents.pdf,https://arxiv.org/abs/2407.16741,https://creativecommons.org/licenses/by/4.0/,38,3293124,5d802255c4a58104a06147ba736fee09569faf3c26f251e5e9b7eff5d7662c14,2026-08-30
P04,A,01_code_agent_workloads,Code Agent工作负载与基准,Agentless: Demystifying LLM-based Software Engineering Agents,Chunqiu Steven Xia; Yinlin Deng; Soren Dunn; Lingming Zhang,2024,2407.01489,cs.SE,非Agent式定位修复验证对照基线,open_access_pdf,01_open_access_papers/01_code_agent_workloads/04_Agentless_Demystifying_LLM_based_Software_Engineering_Agents.pdf,https://arxiv.org/abs/2407.01489,https://creativecommons.org/licenses/by/4.0/,25,1384716,1675c2dcd5ecaef47e8a4356062f60be642cee82e1bbacb044c9d047dce4c856,2026-08-30
P05,A,01_code_agent_workloads,Code Agent工作负载与基准,SWE-bench Goes Live!,Linghao Zhang; Shilin He; Chaoyun Zhang; Yu Kang; Bowen Li; Chengxing Xie; Junhao Wang; Maoquan Wang; Yufan Huang; Shengyu Fu; Elsie Nallipogu; Qingwei Lin; Yingnong Dang; Saravan Rajmohan; Dongmei Zhang,2025,2505.23419,cs.SE,持续更新的真实仓库级评测与污染控制,official_link,02_paper_links/01_code_agent_workloads/05_SWE_bench_Goes_Live.url,https://arxiv.org/abs/2505.23419,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,b7fa49717ee699cd963c46e15c4818c057af71500584f249af4717159eada795,2026-08-30
P06,A,01_code_agent_workloads,Code Agent工作负载与基准,Multi-SWE-bench: A Multilingual Benchmark for Issue Resolving,Daoguang Zan; Zhirong Huang; Wei Liu; Hanwu Chen; Linhao Zhang; Shulin Xin; Lu Chen; Qi Liu; Xiaojian Zhong; Aoyan Li; Siyao Liu; Yongsheng Xiao; Liangqiang Chen; Yuyu Zhang; Jing Su; Tianyu Liu; Rui Long; Kai Shen; Liang Xiang,2025,2504.02605,cs.SE,多语言仓库任务与Agent比较,open_access_pdf,01_open_access_papers/01_code_agent_workloads/06_Multi_SWE_bench_A_Multilingual_Benchmark_for_Issue_Resolving.pdf,https://arxiv.org/abs/2504.02605,https://creativecommons.org/licenses/by/4.0/,32,7042084,4de921d8d88a016762ad1680ec8f5b24381c8c69442e96a4265a50f1bce31d92,2026-08-30
P07,A,01_code_agent_workloads,Code Agent工作负载与基准,Training Software Engineering Agents and Verifiers with SWE-Gym,Jiayi Pan; Xingyao Wang; Graham Neubig; Navdeep Jaitly; Heng Ji; Alane Suhr; Yizhe Zhang,2024,2412.21139,cs.SE,软件工程Agent训练环境与轨迹数据,open_access_pdf,01_open_access_papers/01_code_agent_workloads/07_Training_Software_Engineering_Agents_and_Verifiers_with_SWE_Gym.pdf,https://arxiv.org/abs/2412.21139,https://creativecommons.org/licenses/by/4.0/,21,589198,5c35e277544323fcc4ce8929e208bb8cc32efbbd40b8069c7daa084548d79396,2026-08-30
P08,B,01_code_agent_workloads,Code Agent工作负载与基准,RepoBench: Benchmarking Repository-Level Code Auto-Completion Systems,Tianyang Liu; Canwen Xu; Julian McAuley,2023,2306.03091,cs.CL,仓库级检索补全工作负载,official_link,02_paper_links/01_code_agent_workloads/08_RepoBench_Benchmarking_Repository_Level_Code_Auto_Completion_Systems.url,https://arxiv.org/abs/2306.03091,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,f2979f0bef8bb1922bfe8b56737199d21b8d969f01e118bf57d9c819740218f6,2026-08-30
P09,B,01_code_agent_workloads,Code Agent工作负载与基准,RepoCoder: Repository-Level Code Completion Through Iterative Retrieval and Generation,Fengji Zhang; Bei Chen; Yue Zhang; Jacky Keung; Jin Liu; Daoguang Zan; Yi Mao; Jian-Guang Lou; Weizhu Chen,2023,2303.12570,cs.CL,迭代检索生成与上下文构建,official_link,02_paper_links/01_code_agent_workloads/09_RepoCoder_Repository_Level_Code_Completion_Through_Iterative_Retrieval_and_Generation.url,https://arxiv.org/abs/2303.12570,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,,56,48dd6a97d148bbc991b71e1727a6270a7b5273aaf9c61805cc4ae2d32ba802f0,2026-08-30
P10,B,01_code_agent_workloads,Code Agent工作负载与基准,REPOFUSE: Repository-Level Code Completion with Fused Dual Context,Ming Liang; Xiaoheng Xie; Gehao Zhang; Xunjin Zheng; Peng Di; wei jiang; Hongwei Chen; Chengpeng Wang; Gang Fan,2024,2402.14323,cs.SE,双上下文融合与Prompt压缩,open_access_pdf,01_open_access_papers/01_code_agent_workloads/10_REPOFUSE_Repository_Level_Code_Completion_with_Fused_Dual_Context.pdf,https://arxiv.org/abs/2402.14323,https://creativecommons.org/licenses/by-nc-sa/4.0/,21,1042137,bda8a59dc6f69ee1773070c30bb3595ec9115f762df2e33bb1668a7a920845e2,2026-08-30
